transcript_id,DMSO.1,DMSO.2,DMSO.3,JG1.1,JG1.2,JG1.3,M4.1,M4.2,M4.3
STM14_RS01605,8128,7072,7177,6280,6632,7749,7036,6433,6047
STM14_RS01610,6443,5029,6499,4564,3180,5804,5551,2978,5189
STM14_RS01615,1383,900,1303,639,605,1043,1588,969,1894
STM14_RS01620,2213,2792,2658,1568,2630,2410,2624,3990,2890
STM14_RS01625,6403,6018,6421,5586,5655,6134,6148,4881,4688
STM14_RS01630,14680,21848,16858,28398,48524,25855,23516,39385,19747
STM14_RS01635,2268,1919,2936,1586,1289,2208,2425,1722,2242
STM14_RS01640,9486,4258,3254,2493,3315,3393,5881,2843,2151
STM14_RS01645,6722,4690,4863,4022,7930,8570,5781,3802,5425
STM14_RS01650,13480,12239,12652,12850,13406,14811,11249,10934,11020
STM14_RS01655,3916,3664,5201,5695,5248,9591,3961,4528,6777
STM14_RS01660,4786,5660,3748,3857,4576,5405,4078,3814,4227
STM14_RS01665,36183,55947,45444,29459,35125,37890,51550,81306,83722
STM14_RS01670,16632,25467,23559,13870,12936,19525,24673,36515,45059
STM14_RS01675,3757,3901,3423,1666,1755,2747,5300,4696,14898
STM14_RS01680,12342,13672,10915,10379,12923,12209,12562,14835,18470
STM14_RS01685,3917,3052,3318,3145,2573,3198,3731,3413,6623
STM14_RS01690,9223,10216,7357,5361,4768,5120,10256,7239,16372
STM14_RS01695,8188,8568,6702,4426,4532,5356,8528,7870,14944
STM14_RS01700,18632,24735,21314,13435,13669,16024,20265,22132,38525
STM14_RS01705,44032,64591,67242,36563,30077,58007,44934,64617,90657
STM14_RS01710,17489,33623,36204,17010,10632,31625,12559,18137,26415
STM14_RS01715,17937,23940,21999,13119,12188,20564,18074,16220,33176
STM14_RS01720,8613,10923,8724,7221,7215,8051,8235,9478,12733
STM14_RS01725,10695,13521,10973,8913,9633,9386,10593,14267,16429
STM14_RS01730,5850,3391,4791,3100,3007,3439,5009,3135,9654
STM14_RS01735,1708,1112,1068,825,776,812,1806,1544,4517
STM14_RS01740,5969,5932,4513,4143,4315,4739,7748,10351,20461
STM14_RS01745,6746,7600,7671,6104,6552,7371,7121,10297,13081
STM14_RS01750,2452,2206,1842,1574,1639,1781,2213,1752,2996
STM14_RS01755,4319,4399,4883,3619,3308,5922,3989,5036,6830
STM14_RS01760,860,917,1067,683,764,1353,781,960,1465
STM14_RS01765,2424,2062,2777,1591,1464,2811,1822,1680,3547
STM14_RS01770,7683,9994,8111,7742,8743,10259,6050,6251,4203
STM14_RS01775,7130,6721,5053,3801,6287,6445,4956,4014,2897
STM14_RS01780,963,978,921,845,889,1231,1004,746,904
STM14_RS01785,1002,869,1012,946,1052,1262,890,831,1013
STM14_RS01790,2655,1841,3333,3088,2907,4230,2457,2207,2989
STM14_RS01795,4789,6683,6711,5695,6558,7550,6053,8468,10480
STM14_RS01800,812,505,601,375,393,554,980,548,1794
STM14_RS01805,1507,1114,822,472,564,766,1379,785,1733
STM14_RS01810,7481,11294,8981,8373,8934,10306,7676,12583,7348
STM14_RS01815,1209,1208,1194,737,905,1031,1279,1466,1651
STM14_RS01820,1188,1353,912,653,969,808,1422,1349,2122
STM14_RS01825,3439,2424,2120,1577,1628,2267,2655,1796,2462
STM14_RS01860,670,569,531,403,396,563,1010,470,2487
STM14_RS01865,605,645,757,538,612,766,491,598,1090
STM14_RS01870,169,163,153,128,157,185,260,169,536
STM14_RS01875,4518,4044,4536,4791,4649,5324,4362,4333,3868
STM14_RS01880,2747,2156,2450,2548,1885,2441,3474,1520,2768
STM14_RS01885,70008,60951,23339,18230,27163,17791,66878,29570,55628
STM14_RS01890,2769,2960,1889,1700,1771,1512,3069,1994,2547
STM14_RS01895,3433,2748,2355,2093,2038,2305,3129,1837,2681
STM14_RS01900,1929,1540,1106,1046,848,1166,1443,679,1491
STM14_RS01905,2925,2458,2192,1792,2120,2289,2590,2362,2581
STM14_RS01915,256,154,222,139,146,206,388,344,1528
STM14_RS01920,122,53,88,80,82,100,148,141,583
STM14_RS01925,383,286,253,226,257,328,527,559,991
STM14_RS01930,254,96,185,151,153,182,148,129,215
STM14_RS01935,544,259,526,427,319,561,366,346,550
STM14_RS01940,350,174,181,94,104,181,280,109,253
STM14_RS01950,231,116,160,104,208,259,210,213,328
STM14_RS01955,97,126,120,53,96,121,109,92,119
STM14_RS01960,347,322,290,231,275,376,308,289,435
STM14_RS01965,30,23,10,10,14,23,22,17,30
STM14_RS01970,33,22,12,0,6,9,25,6,6
STM14_RS01975,47,42,22,14,8,9,50,14,27
STM14_RS01980,35,48,16,16,14,21,51,18,38
STM14_RS01985,37,21,37,12,23,8,32,20,38
STM14_RS01990,76,30,42,36,22,24,91,53,65
STM14_RS01995,161,89,148,156,103,101,162,147,190
STM14_RS02000,217,173,219,133,177,225,189,182,244
STM14_RS02005,161,68,56,27,26,52,97,71,114
STM14_RS02010,15,10,10,11,11,11,36,11,27
STM14_RS02015,891,265,581,336,433,437,633,590,1110
STM14_RS02020,165,47,58,28,24,35,80,36,146
STM14_RS02025,323,119,130,45,46,110,218,53,196
STM14_RS02030,117,50,40,12,12,16,76,22,35
STM14_RS02035,451,338,268,195,196,264,358,184,381
STM14_RS02040,254,186,132,89,89,104,200,102,150
STM14_RS02045,2416,927,687,331,466,620,1667,575,1068
STM14_RS02050,279,158,98,64,67,63,316,91,394
STM14_RS02055,1185,479,413,186,313,491,1171,350,980
STM14_RS02060,329,174,172,67,108,139,537,101,737
STM14_RS02065,95,95,59,35,32,31,110,30,192
STM14_RS02070,27,39,26,15,12,17,57,22,62
STM14_RS02075,48,29,31,13,20,16,66,26,45
STM14_RS02095,86,41,27,13,36,23,90,44,52
STM14_RS02100,546,547,456,311,348,320,477,351,403
STM14_RS02105,3010,2316,2278,1444,1528,1855,1953,1967,1906
STM14_RS02110,270,231,172,81,77,187,185,148,190
STM14_RS02115,575,475,360,262,546,502,378,409,421
STM14_RS02120,103,78,75,41,52,70,80,59,71
STM14_RS02130,482,353,235,180,294,216,553,307,476
STM14_RS02135,207,193,136,132,298,293,240,158,191
STM14_RS02140,4165,5959,3156,7118,22936,13375,3649,6960,3383
STM14_RS02145,2584,3222,2234,8595,11142,15639,2352,3622,1704
STM14_RS02150,6155,5286,5973,4344,4167,5344,5387,4972,4265
STM14_RS02155,294458,212522,530602,240320,181249,320191,310702,351858,166497
STM14_RS02160,7455,7802,7539,5969,6630,8008,5420,5383,5026
STM14_RS02165,4923,4636,4864,2699,3454,3476,4361,3334,4139
STM14_RS02170,2750,2168,2458,1118,1048,1764,2347,1026,5530
STM14_RS02175,3512,2863,3981,2405,2569,4379,2428,1718,2441
STM14_RS02180,787,564,612,252,304,218,1127,649,1076
STM14_RS02185,908,613,854,344,225,538,948,455,1343
STM14_RS02190,11473,12652,14671,14180,16034,21804,12926,23255,15641
STM14_RS02195,381,437,186,159,408,259,1019,511,1018
STM14_RS02200,3191,3181,4632,4020,4456,5038,3304,4930,3526
STM14_RS02205,2406,1880,1989,1342,1424,2103,1923,1616,1520
STM14_RS02210,1295,1040,1035,456,458,642,1325,540,1073
STM14_RS02215,4202,4387,3707,2327,2787,3073,4419,3552,4612
STM14_RS02220,2981,2786,2535,1800,1837,2601,2961,3723,3847
STM14_RS02230,961,525,525,319,316,469,761,333,579
STM14_RS02245,16133,14952,14495,8951,12460,14646,8512,11424,3965
STM14_RS02250,143,150,323,81,84,131,157,91,121
STM14_RS02255,185,144,192,100,105,126,246,141,201
